species,label
Human,0
Baker's yeast,1
Mouse,2
Fruit fly,3
Mouse-ear cress,4
Plasmodium falciparum (isolate 3D7),5
Yeast,6
Slime mold,7
Chlamydomonas reinhardtii,8
Caenorhabditis elegans,9
Fission yeast,10
Rice,11
Toxoplasma gondii (strain ATCC 50861 / VEG),12
Rat,13
Trypanosoma brucei brucei (strain 927/4 GUTat10.1),14
Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17),15
Escherichia coli (strain K12),16
Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229),17
Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),18
Maize,19
other,20
