AA,avg AUC ROC,std AUC ROC,avg AUC PR,std AUC PR,avg MCC,std MCC
Phosphorylation-S/T,0.7988,0.00083666,0.7988,0.0018165902,0.3592,0.0022803509
Acetylation,0.827,0.001,0.468,0.003,0.356,0.005
Ubiquitination,0.793,0.002,0.793,0.005,0.394,0.004
Phosphorylation-Y,0.73,0.003,0.402,0.005,0.268,0.004
N-linked Glycosylation,0.974,0.001,0.88,0.007,0.849,0.004
O-linked Glycosylation,0.717,0.011,0.187,0.014,0.142,0.01
Methylation-R,0.821,0.011,0.394,0.021,0.281,0.016
Sumoylation,0.82,0.006,0.538,0.012,0.35,0.015
S-palmitoylation-C,0.754,0.01,0.415,0.017,0.313,0.018
Methylation-K,0.787,0.006,0.325,0.014,0.24,0.009
Pyrrolidone carb. acid,0.958,0.012,0.851,0.037,0.678,0.062
Hydroxylation-P,0.865,0.037,0.618,0.107,0.517,0.081
Hydroxylation-K,0.837,0.073,0.644,0.08,0.51,0.127
